model_name_raw,baseline_core6_index_0_100,baseline_rank,best_rank_across_bbh_loo,worst_rank_across_bbh_loo,median_rank_across_bbh_loo,max_abs_rank_shift,task_at_max_abs_rank_shift,top_n_cutoff,top_n_count_across_bbh_loo,bbh_leaf_task_n
mkurman/llama-3.2-MEDIT-3B-o1,38.02359613741735,547,542,548,546.5,5,leaderboard_bbh_disambiguation_qa,100,0,24
CausalLM/preview-1-hf,35.72358323520966,561,559,566,561.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
Nexesenex/Llama_3.1_8b_Mediver_V1.01,31.86746125054257,584,579,585,583.0,5,leaderboard_bbh_boolean_expressions,100,0,24
Supichi/BBAI_135_Gemma,21.0403072634263,649,647,654,649.0,5,leaderboard_bbh_sports_understanding,100,0,24
JayHyeon/Qwen-0.5B-DPO-5epoch,19.028427126729305,674,672,679,675.0,5,leaderboard_bbh_geometric_shapes,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-1ep_0alp_0lam,18.98712437195607,678,673,682,677.0,5,leaderboard_bbh_salient_translation_error_detection,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-3ep_1alp_0lam,18.562929448762763,688,683,691,688.0,5,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
JayHyeon/Qwen_0.5-IRPO_3e-7-3ep_1alp_0lam,18.422244861204263,694,689,697,694.0,5,leaderboard_bbh_formal_fallacies,100,0,24
JayHyeon/Qwen_0.5-DPOP_5e-7-3ep_0alp_5lam,18.42126558854091,695,690,697,694.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-3ep_0alp_0lam,18.014009138289335,706,703,711,707.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-3ep_1alp_0lam,17.81668992127862,714,709,716,713.5,5,leaderboard_bbh_snarks,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-2ep_1alp_0lam,17.584494640636393,717,716,722,718.0,5,leaderboard_bbh_boolean_expressions,100,0,24
JayHyeon/Qwen_0.5-MDPO_0.5_7e-7-3ep_0alp_0lam,17.577251346907662,718,714,723,718.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-1ep_0alp_0lam,17.339352407384887,726,722,731,726.0,5,leaderboard_bbh_web_of_lies,100,0,24
JayHyeon/Qwen-0.5B-eDPO-5epoch,17.21384012661778,731,726,736,731.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-7-3ep_0alp_0lam,17.191970391749837,733,728,738,732.5,5,leaderboard_bbh_formal_fallacies,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_7e-7-3ep_0alp_0lam,17.17200012705854,734,729,737,732.5,5,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_2ep_0alp_0lam,17.001678097729314,739,734,741,737.0,5,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
JayHyeon/Qwen_0.5-IPO_5e-7-3ep_0alp_0lam,16.82150076002286,744,739,745,743.0,5,leaderboard_bbh_snarks,100,0,24
JayHyeon/Qwen_0.5-DPO_1e-7-3ep_0alp_0lam,16.729828207957492,745,740,748,745.0,5,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
oopere/pruned60-llama-1b,16.48774059856017,747,745,752,748.0,5,leaderboard_bbh_penguins_in_a_table,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-2ep_0alp_5lam,16.44660769843257,749,747,754,750.0,5,leaderboard_bbh_boolean_expressions,100,0,24
NikolaSigmoid/AceMath-1.5B-Instruct-dolphin-r1-200,16.393377338121642,752,747,754,751.0,5,leaderboard_bbh_logical_deduction_seven_objects,100,0,24
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v7-rebase,88.18456142151295,25,23,29,25.0,4,leaderboard_bbh_hyperbaton,100,24,24
sometimesanotion/Qwen2.5-14B-Vimarckoso-v3,88.07426025274619,29,25,29,29.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v5,87.18747409212806,38,34,41,37.0,4,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,24,24
CultriX/Qwen2.5-14B-Brocav3,87.06184034830049,40,38,44,40.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
YOYO-AI/Qwen2.5-14B-YOYO-latest,86.95420061286079,42,38,43,42.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
CultriX/Qwen2.5-14B-Brocav7,86.81181977285353,44,42,48,45.0,4,leaderboard_bbh_geometric_shapes,100,24,24
sometimesanotion/Qwentinuum-14B-v8,86.61446342023898,49,45,50,49.0,4,leaderboard_bbh_hyperbaton,100,24,24
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v8.5,86.31399840502132,53,49,54,53.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
CultriX/SeQwence-14Bv1,85.84228767059231,59,55,62,59.0,4,leaderboard_bbh_hyperbaton,100,24,24
sometimesanotion/Qwentinuum-14B-v2,85.32081061755493,68,64,69,68.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
CultriX/Qwen2.5-14B-BrocaV9,85.06547933330536,71,69,75,72.0,4,leaderboard_bbh_hyperbaton,100,24,24
Daemontatox/CogitoZ,84.83573432818326,77,73,80,77.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
CultriX/Qwen2.5-14B-MergeStock,84.76301620175934,78,77,82,79.0,4,leaderboard_bbh_web_of_lies,100,24,24
sometimesanotion/Qwentinuum-14B-v1,84.61763558802032,83,79,84,83.0,4,leaderboard_bbh_disambiguation_qa,100,24,24
YOYO-AI/ZYH-LLM-Qwen2.5-14B-V2,84.52908387634018,84,80,85,84.0,4,leaderboard_bbh_disambiguation_qa,100,24,24
Aashraf995/QwenStock-14B,84.50330120660803,85,81,86,85.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
Xiaojian9992024/Qwen2.5-THREADRIPPER-Medium-Censored,84.22129292142479,88,86,92,88.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
tensopolis/mistral-small-2501-tensopolis-v1,84.19741714088939,89,85,91,89.0,4,leaderboard_bbh_web_of_lies,100,24,24
prithivMLmods/Primal-Opus-14B-Optimus-v1,83.7376345795587,95,91,96,95.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
hotmailuser/Gemma2atlas-27B,81.18284720539016,109,105,109,109.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
qingy2024/QwEnlarge-16B-Instruct,78.14575391888378,131,127,134,132.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
neopolita/jessi-v0.1-bf16-falcon3-7b-instruct,77.67490327389763,138,134,141,138.0,4,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
GoToCompany/gemma2-9b-cpt-sahabatai-v1-instruct,77.41175940078139,142,138,146,142.0,4,leaderboard_bbh_sports_understanding,100,0,24
zetasepic/Qwen2.5-32B-Instruct-abliterated-v2,77.11234578464394,148,144,150,147.0,4,leaderboard_bbh_sports_understanding,100,0,24
prithivMLmods/Phi4-Super,77.02166784954507,149,145,152,149.0,4,leaderboard_bbh_geometric_shapes,100,0,24
zelk12/MT4-Gen2-gemma-2-9B,77.00297079702774,150,146,152,149.5,4,leaderboard_bbh_movie_recommendation,100,0,24
zelk12/MT1-Gen2-gemma-2-9B,76.89963765816609,153,149,154,153.0,4,leaderboard_bbh_object_counting,100,0,24
braindao/Qwen2.5-14B,76.4198101528184,156,152,159,156.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
prithivMLmods/Phi-4-o1,76.3452228823508,157,154,161,158.0,4,leaderboard_bbh_hyperbaton,100,0,24
zelk12/MT5-Gen3-gemma-2-9B,76.27737721720013,160,156,163,160.0,4,leaderboard_bbh_movie_recommendation,100,0,24
CultriX/Qwen2.5-14B-Wernicke-SFT,76.04409035629838,163,159,164,164.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
BenevolenceMessiah/Qwen2.5-72B-2x-Instruct-TIES-v1.0,76.02620949145182,164,162,168,163.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,75.87409306671297,165,162,169,165.0,4,leaderboard_bbh_movie_recommendation,100,0,24
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v0.9,75.73333646282212,169,165,171,169.0,4,leaderboard_bbh_boolean_expressions,100,0,24
hotmailuser/FalconSlerp3-7B,74.74288583932388,180,179,184,180.0,4,leaderboard_bbh_causal_judgement,100,0,24
hotmailuser/FalconSlerp2-7B,74.61897242159931,182,180,186,182.0,4,leaderboard_bbh_causal_judgement,100,0,24
Daemontatox/Zirel-7B-Math,74.48637763231865,184,182,188,185.0,4,leaderboard_bbh_geometric_shapes,100,0,24
CombinHorizon/huihui-ai-abliterated-Qwen2.5-32B-Inst-BaseMerge-TIES,73.95244682166887,190,190,194,190.5,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
bunnycore/Qwen-2.5-7B-Exp-Sce,73.90590644253622,191,189,195,191.0,4,leaderboard_bbh_object_counting,100,0,24
1024m/PHI-4-Hindi,73.76478825179107,194,190,196,194.0,4,leaderboard_bbh_geometric_shapes,100,0,24
grimjim/Gigantes-v2-gemma2-9b-it,73.70090658750864,195,191,198,195.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
jeffmeloy/Qwen2.5-7B-olm-v1.3,73.59931400767255,197,193,198,196.5,4,leaderboard_bbh_sports_understanding,100,0,24
allknowingroger/QwenSlerp12-7B,72.40232684172919,209,208,213,209.5,4,leaderboard_bbh_causal_judgement,100,0,24
Daemontatox/AetherSett,72.30021877790173,213,209,215,212.0,4,leaderboard_bbh_logical_deduction_three_objects,100,0,24
Nexesenex/Llama_3.1_8b_Dolerstormed_V1.04,71.79818731582357,219,216,223,219.0,4,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
CultriX/Qwen2.5-14B-FinalMerge,71.75570468783629,220,216,223,220.0,4,leaderboard_bbh_sports_understanding,100,0,24
DreadPoor/Lydia_of_Whiterun-8B-LINEAR,71.62289165809469,221,219,225,221.0,4,leaderboard_bbh_object_counting,100,0,24
nhyha/merge_Qwen2.5-7B-Instruct_20241023_0314,71.60576645473307,222,218,225,222.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
Daemontatox/CogitoZ14,71.00967092219126,230,227,234,230.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
Daemontatox/MawaredT1,70.92017714394679,231,228,235,231.0,4,leaderboard_bbh_web_of_lies,100,0,24
Daemontatox/RA_Reasoner,70.19434513758016,242,238,244,242.0,4,leaderboard_bbh_sports_understanding,100,0,24
allknowingroger/Qwen2.5-7B-task3,70.02281338643176,243,239,246,243.0,4,leaderboard_bbh_web_of_lies,100,0,24
Nexesenex/Llama_3.1_8b_DodoWild_v2.03,69.62589769410826,249,247,253,249.5,4,leaderboard_bbh_object_counting,100,0,24
nbeerbower/Qwen2.5-Gutenberg-Doppel-14B,68.27261438347145,270,266,272,270.0,4,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
DoppelReflEx/MiniusLight-24B,67.66685421704743,275,271,278,276.0,4,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
DreadPoor/Winter_Dawn-8B-TIES,67.62219507559878,276,273,280,276.0,4,leaderboard_bbh_web_of_lies,100,0,24
microsoft/Phi-4-mini-instruct,67.61707826636093,277,273,278,277.0,4,leaderboard_bbh_date_understanding,100,0,24
AALF/FuseChat-Llama-3.1-8B-SFT-preview,64.71620573340222,299,298,303,299.0,4,leaderboard_bbh_navigate,100,0,24
PJMixers-Dev/LLaMa-3.1-Instruct-Interleaved-Zeroed-13B,64.63028973155583,300,296,302,300.0,4,leaderboard_bbh_web_of_lies,100,0,24
PJMixers-Dev/LLaMa-3.1-RomboTiesTest-8B,64.53387099877347,302,298,304,302.0,4,leaderboard_bbh_web_of_lies,100,0,24
PJMixers-Dev/LLaMa-3.1-RomboTiesTest2-8B,64.53387099877347,303,299,305,303.0,4,leaderboard_bbh_web_of_lies,100,0,24
ZeroXClem/Llama-3.1-8B-SuperNova-EtherealHermes,64.5029331095733,304,300,305,303.0,4,leaderboard_bbh_navigate,100,0,24
TheDrummer/Tiger-Gemma-9B-v2,61.3558146972843,323,322,327,323.0,4,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
DreadPoor/Nullsworn-12B-LINEAR,61.1204247673812,327,323,331,327.0,4,leaderboard_bbh_sports_understanding,100,0,24
Delta-Vector/Control-8B-V1.1,61.05375457909189,328,324,331,328.0,4,leaderboard_bbh_logical_deduction_seven_objects,100,0,24
DoppelReflEx/MN-12B-FoxFrame2-test,60.97378731937727,331,327,332,330.5,4,leaderboard_bbh_formal_fallacies,100,0,24
khoantap/llama-linear-0.5-1-0.5-merge,60.20903560264401,338,335,342,338.5,4,leaderboard_bbh_hyperbaton,100,0,24
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v1.2,60.1782074313411,339,335,343,339.0,4,leaderboard_bbh_boolean_expressions,100,0,24
DoppelReflEx/MN-12B-FoxFrame3-test,59.26705573957253,358,354,362,358.0,4,leaderboard_bbh_salient_translation_error_detection,100,0,24
DoppelReflEx/MN-12B-LilithFrame-Experiment-3,59.2408132678034,359,355,363,359.0,4,leaderboard_bbh_formal_fallacies,100,0,24
grimjim/Llama-3.1-Bonsaikraft-8B-Instruct,59.23376057253312,360,356,362,360.0,4,leaderboard_bbh_date_understanding,100,0,24
DoppelReflEx/MN-12B-Mimicore-Orochi-v4-Experiment,59.00781288957382,363,359,363,362.5,4,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
FlofloB/10k_continued_pretraining_Phi-3-mini-4k-instruct_Unsloth_merged_16bit,57.78653626851335,368,367,372,368.5,4,leaderboard_bbh_disambiguation_qa,100,0,24
ehristoforu/QwenQwen2.5-7B-IT,57.38320958616894,374,370,378,374.0,4,leaderboard_bbh_formal_fallacies,100,0,24
Ahdoot/StructuredThinker-v0.3-MoreStructure,57.30014278921619,375,372,379,375.0,4,leaderboard_bbh_geometric_shapes,100,0,24
bunnycore/Qwen2.5-3B-Model-Stock-v4.1,57.282249009408815,376,373,380,375.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
DoppelReflEx/MiniusLight-24B-test,57.233223294533246,377,373,379,377.0,4,leaderboard_bbh_hyperbaton,100,0,24
Rombo-Org/Rombo-LLM-V2.5-Qwen-7b,56.65886487630522,383,381,387,384.0,4,leaderboard_bbh_web_of_lies,100,0,24
bunnycore/Qwen2.5-3B-Model-Stock-v3.2,56.63514834282998,384,381,388,383.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
allenai/Llama-3.1-Tulu-3-8B-DPO,56.245363970548645,388,386,392,389.0,4,leaderboard_bbh_disambiguation_qa,100,0,24
HPAI-BSC/Qwen2.5-Aloe-Beta-7B,56.06394983475309,391,388,395,392.0,4,leaderboard_bbh_web_of_lies,100,0,24
ZeroXClem/Llama-3.1-8B-AthenaSky-MegaMix,56.045116047481066,392,389,396,391.5,4,leaderboard_bbh_object_counting,100,0,24
win10/EVA-Norns-Qwen2.5-v0.1,55.89885037328792,394,390,398,395.0,4,leaderboard_bbh_hyperbaton,100,0,24
DoppelReflEx/L3-8B-WolfCore,55.27062005511187,402,398,402,402.0,4,leaderboard_bbh_web_of_lies,100,0,24
Aurel9/testmerge-7b,53.777142684235606,411,408,415,411.0,4,leaderboard_bbh_sports_understanding,100,0,24
cognitivecomputations/Dolphin3.0-R1-Mistral-24B,52.55439550505511,423,419,425,423.0,4,leaderboard_bbh_movie_recommendation,100,0,24
Sorawiz/Gemma-Creative-9B-Base,51.01895856476091,431,427,435,431.0,4,leaderboard_bbh_navigate,100,0,24
DavidAU/DeepSeek-BlackRoot-R1-Distill-Llama-3.1-8B,50.938278990969216,432,429,436,431.0,4,leaderboard_bbh_web_of_lies,100,0,24
NCSOFT/Llama-VARCO-8B-Instruct,50.68302679645137,436,433,440,435.0,4,leaderboard_bbh_disambiguation_qa,100,0,24
DavidAU/L3.1-MOE-2X8B-Deepseek-DeepHermes-e32-uncensored-abliterated-13.7B,50.4592489621863,438,434,442,438.0,4,leaderboard_bbh_disambiguation_qa,100,0,24
iFaz/llama32_3B_en_emo_300_stp,50.25284365392781,441,438,445,440.5,4,leaderboard_bbh_causal_judgement,100,0,24
CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct-2412,50.17277282625105,442,440,446,442.0,4,leaderboard_bbh_movie_recommendation,100,0,24
ContactDoctor/Bio-Medical-Llama-3-8B,50.06290166204517,443,439,446,443.0,4,leaderboard_bbh_navigate,100,0,24
iFaz/llama32_3B_en_emo_2000_stp,50.003623272881306,444,440,447,444.0,4,leaderboard_bbh_web_of_lies,100,0,24
MaziyarPanahi/calme-3.1-llamaloi-3b,49.3001332914103,449,447,453,450.0,4,leaderboard_bbh_hyperbaton,100,0,24
hotmailuser/Llama-Hermes-slerp-8B,49.17035109219278,453,449,454,452.0,4,leaderboard_bbh_date_understanding,100,0,24
Daemontatox/NemoR,48.99756168945786,454,450,456,454.0,4,leaderboard_bbh_formal_fallacies,100,0,24
DreadPoor/AnotherTest,48.89115555977149,455,451,457,455.0,4,leaderboard_bbh_geometric_shapes,100,0,24
iFaz/llama32_3B_en_emo_5000_stp,48.73958295540993,457,453,458,457.0,4,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
DoppelReflEx/MN-12B-Mimicore-Orochi-v2-Experiment,47.5107542966037,462,461,466,463.0,4,leaderboard_bbh_disambiguation_qa,100,0,24
x0000001/Deepseek-Lumen-R1-Qwen2.5-14B,47.37189015267302,464,461,468,464.0,4,leaderboard_bbh_salient_translation_error_detection,100,0,24
ehristoforu/rufalcon3-3b-it,47.18568238552057,465,464,469,465.0,4,leaderboard_bbh_boolean_expressions,100,0,24
jiangxinyang-shanda/Homer-LLama3-8B,47.039889930760616,468,464,471,468.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,46.20425204371458,475,473,479,475.0,4,leaderboard_bbh_causal_judgement,100,0,24
EpistemeAI/Polypsyche-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-divergent,45.90550128144404,479,478,483,479.0,4,leaderboard_bbh_web_of_lies,100,0,24
braindao/DeepSeek-R1-Distill-Qwen-14B-Blunt,45.76386210888162,480,479,484,480.0,4,leaderboard_bbh_temporal_sequences,100,0,24
DoppelReflEx/MN-12B-Mimicore-WhiteSnake-v2-Experiment-3,45.4360840971923,484,481,488,484.5,4,leaderboard_bbh_snarks,100,0,24
hotmailuser/QwenStock-1.7B,45.40555925742881,485,483,489,484.0,4,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
kms7530/chemeng_qwen-math-7b_24_1_100_1_nonmath,43.73355508875584,495,494,499,495.0,4,leaderboard_bbh_formal_fallacies,100,0,24
noname0202/gemma-2-9b-sft-jp-en-zh-v1,43.603895005222114,497,495,501,497.0,4,leaderboard_bbh_hyperbaton,100,0,24
bunnycore/Qwen2.5-3B-Model-Stock-v2,43.59521111309126,498,494,500,498.0,4,leaderboard_bbh_object_counting,100,0,24
iFaz/llama31_8B_en_emo_v4,43.58952001463893,499,495,500,498.0,4,leaderboard_bbh_movie_recommendation,100,0,24
Dans-DiscountModels/12b-mn-dans-reasoning-test-3,43.42771286765191,500,496,502,500.0,4,leaderboard_bbh_formal_fallacies,100,0,24
nbeerbower/Mistral-Gutenberg-Doppel-7B-FFT,43.17891725669762,501,500,505,501.0,4,leaderboard_bbh_sports_understanding,100,0,24
AuraIndustries/Aura-MoE-2x4B-v2,42.27837920532541,506,506,510,506.0,4,leaderboard_bbh_web_of_lies,100,0,24
DavidAU/DeepSeek-Grand-Horror-SMB-R1-Distill-Llama-3.1-16B,41.728482895074016,512,509,516,512.0,4,leaderboard_bbh_date_understanding,100,0,24
nbeerbower/Mistral-Nemo-Moderne-12B-FFT-experimental,41.48029322927864,514,512,518,516.0,4,leaderboard_bbh_causal_judgement,100,0,24
netcat420/MFANN-phigments-slerp-V3.3,41.46206899041864,516,512,519,516.5,4,leaderboard_bbh_navigate,100,0,24
AuraIndustries/Aura-4B,41.46122365412468,517,513,519,515.5,4,leaderboard_bbh_boolean_expressions,100,0,24
CYFRAGOVPL/PLLuM-12B-base,41.37322004343442,518,514,520,517.0,4,leaderboard_bbh_causal_judgement,100,0,24
ContactDoctor/Bio-Medical-3B-CoT-012025,41.30824265372892,519,515,520,518.5,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
CYFRAGOVPL/PLLuM-12B-nc-chat,40.91229199158162,521,520,525,521.0,4,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
DavidAU/DeepSeek-V2-Grand-Horror-SMB-R1-Distill-Llama-3.1-Uncensored-16.5B,40.76126955479334,524,520,526,524.0,4,leaderboard_bbh_causal_judgement,100,0,24
AicoresSecurity/Cybernet-Sec-3B-R1-V0,40.42676044454272,527,523,529,527.0,4,leaderboard_bbh_web_of_lies,100,0,24
Nexesenex/Llama_3.2_3b_Kermes_v2,40.19603690478603,530,526,531,530.0,4,leaderboard_bbh_date_understanding,100,0,24
SkyOrbis/SKY-Ko-Qwen2.5-3B-Instruct,38.3215225773622,542,540,546,542.0,4,leaderboard_bbh_disambiguation_qa,100,0,24
fulim/FineLlama-3.1-8B,38.289054547943486,543,540,547,542.0,4,leaderboard_bbh_movie_recommendation,100,0,24
CYFRAGOVPL/PLLuM-12B-chat,38.05733848476782,545,541,548,545.0,4,leaderboard_bbh_movie_recommendation,100,0,24
ymcki/gemma-2-2b-jpn-it-abliterated-17-18-24,32.0418136562566,580,576,583,580.0,4,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
Daemontatox/CogitoDistil,32.022624160481755,581,577,585,580.0,4,leaderboard_bbh_boolean_expressions,100,0,24
bunnycore/Qwen2.5-7B-MixStock-Sce-V0.3,30.9884541512962,590,588,594,590.0,4,leaderboard_bbh_navigate,100,0,24
win10/Qwen2.5-2B-Instruct,26.500441196091103,612,611,616,612.0,4,leaderboard_bbh_navigate,100,0,24
BlackBeenie/Llama-3.1-8B-pythonic-passthrough-merge,22.10246884537976,637,636,641,637.5,4,leaderboard_bbh_penguins_in_a_table,100,0,24
JayHyeon/Qwen_0.5-cDPO_5e-7-3ep_0vpo_const_0.1,22.03473820143348,638,637,642,639.0,4,leaderboard_bbh_web_of_lies,100,0,24
HeraiHench/Phi-4-slerp-ReasoningRP-14B,21.988158508143957,641,637,643,640.0,4,leaderboard_bbh_geometric_shapes,100,0,24
lkoenig/BBAI_200_Gemma,21.188117642695023,648,646,652,647.0,4,leaderboard_bbh_sports_understanding,100,0,24
LEESM/llama-2-7b-hf-lora-oki10p,20.97445716637957,650,648,654,650.5,4,leaderboard_bbh_movie_recommendation,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-5ep,20.871897429571597,653,650,657,652.5,4,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
JayHyeon/Qwen2.5-0.5B-Instruct-SFT-MDPO-1epoch_v1,20.85195139546347,654,650,655,653.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam,20.52699782725691,658,654,660,658.0,4,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
FlofloB/40k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,19.49048448165789,667,664,671,666.0,4,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.3,19.21512873093336,670,666,672,670.0,4,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,19.01415863468634,675,672,679,675.5,4,leaderboard_bbh_logical_deduction_seven_objects,100,0,24
JayHyeon/Qwen_0.5-MDPO_0.3_3e-6-3ep_0alp_0lam,19.00937690599287,676,672,679,675.5,4,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,18.75924588473143,682,680,686,682.0,4,leaderboard_bbh_sports_understanding,100,0,24
JayHyeon/Qwen_0.5-DPOP_3e-6-1ep_0alp_5lam,18.683365231721822,685,681,688,685.0,4,leaderboard_bbh_salient_translation_error_detection,100,0,24
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_0alp_0lam,18.48017565261749,691,687,695,692.0,4,leaderboard_bbh_movie_recommendation,100,0,24
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_0alp_0lam,18.47514532088282,692,688,696,692.0,4,leaderboard_bbh_boolean_expressions,100,0,24
JayHyeon/Qwen_0.5-DPO_5e-7-3ep_0alp_0lam,18.087074245807333,704,700,707,704.0,4,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-1ep_0alp_0lam,17.98535870994353,707,703,711,708.0,4,leaderboard_bbh_formal_fallacies,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_2ep_0alp_0lam,17.842473429526628,712,708,715,712.5,4,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
JayHyeon/Qwen-0.5B-IRPO-1epoch,17.480578165980763,721,717,725,721.0,4,leaderboard_bbh_boolean_expressions,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6-3ep_0alp_0lam,17.44954489928686,723,720,727,722.0,4,leaderboard_bbh_web_of_lies,100,0,24
JayHyeon/Qwen_0.5-DPOP_3e-7-1ep_0alp_5lam,16.57446512295243,746,746,750,746.0,4,leaderboard_bbh_navigate,100,0,24
JayHyeon/Qwen_0.5-MDPO_0.1_5e-7-3ep_0alp_0lam,16.479655931407514,748,747,752,748.0,4,leaderboard_bbh_navigate,100,0,24
Alepach/notHumpback-M0,16.44257696494444,750,746,752,749.0,4,leaderboard_bbh_web_of_lies,100,0,24
JayHyeon/Qwen_0.5-IRPO_3e-6-2ep_1alp_0lam,16.430384464376107,751,747,755,751.0,4,leaderboard_bbh_ruin_names,100,0,24
allenai/Llama-3.1-Tulu-3-8B-RM,16.325998883173842,753,749,755,753.0,4,leaderboard_bbh_navigate,100,0,24
cckm/tinymistral_950m,16.23749621170328,755,751,757,755.0,4,leaderboard_bbh_web_of_lies,100,0,24
