source_row_1based,Model,Publication date,Training compute (FLOP),Training compute notes,Training dataset size (total),Dataset size notes,Parameters,Parameters notes,Confidence,Numerical format,Training compute estimation method,Open model weights?,Reference,Link,publication_date_parsed,publication_year,date_status,included_as_of_cutoff,training_compute_numeric,training_compute_parse_status,dataset_size_numeric,dataset_size_parse_status,parameter_count_numeric,parameter_count_parse_status
235,OpenReasoning-Nemotron-32B,2025-07-16,,,,,32000000000.0,32B,Confident,,,Yes,OpenReasoning-Nemotron-32B Overview,https://huggingface.co/nvidia/OpenReasoning-Nemotron-32B,2025-07-16,2025.0,after_cutoff,False,,missing,,missing,32000000000.0,finite_scalar
236,EXAONE 4.0 (32B),2025-07-15,2.69000000000001e+24,"Reported in Table 2.

from communication with the authors:
""EXAONE 4.0 32B: NVIDIA H200 GPUs x 512 EA for 19 weeks (FP8 mode training)""",14000000000000,"max sequence length 131,072 (Table 1)

size of pretraining data: 14T (Table 2)",32000000000.0,32B,Confident,FP8,Reported,Yes,EXAONE 4.0: Unified Large Language Models Integrating Non-reasoning and Reasoning Modes,https://arxiv.org/abs/2507.11407,2025-07-15,2025.0,after_cutoff,False,2.69000000000001e+24,finite_scalar,14000000000000.0,finite_scalar,32000000000.0,finite_scalar
237,EXAONE 4.0 (1.2B),2025-07-15,8.65e+22,"Reported in Table 2.

from communication with the authors:
""EXAONE 4.0 1.2B: NVIDIA H200 GPUs x 512 EA for 2 weeks (FP8 mode training)""",12000000000000,"max sequence length 65,536 (Table 1)

size of pretraining data: 12T (Table 2)",1200000000.0,1.2B,Confident,FP8,Reported,Yes,EXAONE 4.0: Unified Large Language Models Integrating Non-reasoning and Reasoning Modes,https://arxiv.org/abs/2507.11407,2025-07-15,2025.0,after_cutoff,False,8.65e+22,finite_scalar,12000000000000.0,finite_scalar,1200000000.0,finite_scalar
238,Voxtral Small,2025-07-15,,,,,24300000000.0,Table 1,Confident,,,Yes,Introducing frontier open source speech understanding models.,https://arxiv.org/abs/2507.13264,2025-07-15,2025.0,after_cutoff,False,,missing,,missing,24300000000.0,finite_scalar
239,Voxtral Mini,2025-07-15,,,,,4700000000.0,Table 1,Confident,,,Yes,Introducing frontier open source speech understanding models.,https://arxiv.org/abs/2507.13264,2025-07-15,2025.0,after_cutoff,False,,missing,,missing,4700000000.0,finite_scalar
240,Gemini Embedding,2025-07-14,,,,,,,Unknown,,,No,Gemini Embedding: Generalizable Embeddings from Gemini,https://arxiv.org/abs/2503.07891,2025-07-14,2025.0,after_cutoff,False,,missing,,missing,,missing
241,Kimi K2,2025-07-11,2.976e+24,6 FLOP / parameter / token * 32 * 10^9 activated parameters * 15.5 * 10^12 tokens = 2.976e+24 FLOP,15500000000000,"""Kimi K2 was pre-trained on 15.5T tokens""",1000000000000.0,MoE with 1T total parameters and 32B parameters active per forward pass,Confident,,Operation counting,Yes,Kimi K2: Open Agentic Intelligence,https://moonshotai.github.io/Kimi-K2/,2025-07-11,2025.0,after_cutoff,False,2.976e+24,finite_scalar,15500000000000.0,finite_scalar,1000000000000.0,finite_scalar
242,Grok 4 Heavy,2025-07-10,,,,,,,Unknown,,,No,Grok 4 Heavy - the most powerful version of Grok 4,https://x.ai/news/grok-4,2025-07-10,2025.0,after_cutoff,False,,missing,,missing,,missing
243,Grok 4,2025-07-09,5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",,,3000000000000.0,Rumored to be 2.4T params (https://x.com/kalomaze/status/1942996555088134592),Speculative,,Comparison with other models,No,Grok 4,https://x.ai/news/grok-4,2025-07-09,2025.0,after_cutoff,False,5.0000000000001e+26,finite_scalar,,missing,3000000000000.0,finite_scalar
244,EXAONE Path 2.0,2025-07-09,,,144450,"""EXAONE Path 2.0 is trained on 37,195 Formalin-Fixed, Paraffin-Embedded (FFPE) Hematoxylin and Eosin (H&E) stained WSIs. These WSIs generate 144,450 image-label pairs across 16 training tasks, with each WSI contributing multiple labels corresponding to different prediction objectives including cancer subtyping, tissue classification, and biomarker prediction.""

""gigapixel scale""

""In the first curriculum stage, we apply 256×256 DINO loss to the first-stage ViT and 1024×1024 DINO loss to the second-stage ViT""

unknown number of epochs or training steps",175000000.0,~175M parameters based on Figure 1,Confident,,,Yes,EXAONE Path 2.0: Pathology Foundation Model with End-to-End Supervision,https://arxiv.org/abs/2507.06639,2025-07-09,2025.0,after_cutoff,False,,missing,144450.0,finite_scalar,175000000.0,finite_scalar
245,MedSigLIP,2025-07-09,,,,,800000000.0,"""MedSigLIP contains a 400M parameter vision encoder and 400M parameter text encoder,""",Confident,,,Yes,MedSigLIP model card,https://developers.google.com/health-ai-developer-foundations/medsiglip,2025-07-09,2025.0,after_cutoff,False,,missing,,missing,800000000.0,finite_scalar
246,dots.llm1,2025-07-06,1.2164856e+24,"6 FLOP/parameter/token * 14000000000 active parameters * 11328000000000 tokens = 9.51552e+23 FLOP

989000000000000 FLOP/GPU/sec [H800 assumed] * 1456000 GPU-hours * 3600 sec / hour * 0.3 [assumed utilization] = 1.55518272e+24 FLOP

sqrt(9.51552e+23*1.55518272e+24) = 1.2164856e+24",11328000000000,"pre-training: ""11.2T high-quality tokens""
long context: 128B tokens

11.328T tokens total",142000000000.0,"a large-scale MoE model that activates 14
billion parameters out of a total of 142 billion parameters",Confident,,"Hardware,Operation counting",Yes,dots.llm1 Technical Report,https://www.arxiv.org/abs/2506.05767,2025-07-06,2025.0,after_cutoff,False,1.2164856e+24,finite_scalar,11328000000000.0,finite_scalar,142000000000.0,finite_scalar
247,Finix-P1-32B,2025-07-01,,,,,32000000000.0,32B,Confident,,,,Finix-P1-32B (Thinking) ,https://rank.opencompass.org.cn/model-detail-v2/Finix-P1-32B%20(Thinking),2025-07-01,2025.0,after_cutoff,False,,missing,,missing,32000000000.0,finite_scalar
248,ERNIE-4.5-VL-28B-A3B,2025-06-29,,Plausibly over 1e23 FLOP if trained on 10T tokens. ,,,28000000000.0,"MoE
total parameters: 28B
active parameters: 3B",Confident,FP8,,Yes,ERNIE 4.5 Technical Report,https://yiyan.baidu.com/blog/publication/ERNIE_Technical_Report.pdf,2025-06-29,2025.0,after_cutoff,False,,missing,,missing,28000000000.0,finite_scalar
249,ERNIE-4.5-300B-A47B,2025-06-29,2.82e+24,"They say the model was trained on ""trillions of tokens"" 
Speculatively assuming 10T tokens:

6 FLOP / token / parameter * 47 * 10^9 active parameters * 10 * 10^12 assumed training tokens = 2.82e+24 FLOP",,"""We commence with large-scale pre-training on trillions of pure-text tokens
sourced from diverse domains.""",300000000000.0,"MoE
total parameters: 300B
active parameters: 47B",Speculative,FP8,,Yes,ERNIE 4.5 Technical Report,https://yiyan.baidu.com/blog/publication/ERNIE_Technical_Report.pdf,2025-06-29,2025.0,after_cutoff,False,2.82e+24,finite_scalar,,missing,300000000000.0,finite_scalar
250,ERNIE-4.5-21B-A3B,2025-06-29,1.8e+23,"They say the model was trained on """"trillions of tokens""
Speculatively assuming 10T tokens:

6 FLOP / token / parameter * 3 * 10^9 active parameters * 10 * 10^12 assumed training tokens = 1.8e+23 FLOP",,"""We commence with large-scale pre-training on trillions of pure-text tokens
sourced from diverse domains.""",21000000000.0,"MoE
total parameters: 21B
active parameters: 3B",Speculative,FP8,,Yes,ERNIE 4.5 Technical Report,https://yiyan.baidu.com/blog/publication/ERNIE_Technical_Report.pdf,2025-06-29,2025.0,after_cutoff,False,1.8e+23,finite_scalar,,missing,21000000000.0,finite_scalar
251,ERNIE-4.5-0.3B,2025-06-29,,"Probably not trained with over 10^23 FLOP. For example:
6 FLOP/token/param * 10T tokens * 300M params = 1.8e22 FLOP.",,,360000000.0,"0,36B dense",Confident,FP8,,Yes,ERNIE 4.5 Technical Report,https://yiyan.baidu.com/blog/publication/ERNIE_Technical_Report.pdf,2025-06-29,2025.0,after_cutoff,False,,missing,,missing,360000000.0,finite_scalar
252,DiLoCoX (Qwen1.5-107B on WT-103),2025-06-26,,,,"4000 steps

unknown number of epochs or sequence length",107000000000.0,,Confident,,,No,DiLoCoX: A Low-Communication Large-Scale Training Framework for Decentralized Cluster,https://arxiv.org/abs/2506.21263,2025-06-26,2025.0,after_cutoff,False,,missing,,missing,107000000000.0,finite_scalar
253,BlueOcean LLM 2.0 (萤石蓝海),2025-06-26,,,,,,,Unknown,,,No,Blue Ocean Big Model 2.0,https://web.archive.org/web/20250710111638/https://www.anfangnews.com/2025/0703/12905.shtml,2025-06-26,2025.0,after_cutoff,False,,missing,,missing,,missing
254,AlphaGenome,2025-06-25,1.362969e+22,"Pre-training:
""Each gradient step processed a batch size of 64 samples using
8-way sequence parallelism, requiring 512 TPUv3 cores, with pre-training runs typically completing in approximately 4 hours.""

""Distillation using many teacher models (e.g., 64; orange crosses)""

123000000000000 FLOP / TPUv3 chip / sec * (512 TPUv3 cores / 2) * 4 hours * 3600 sec / hour * 0.3 [assumed utilization] * 64 training runs [""Likely"" confidence] = 8.7058022e+21 FLOP

Distillation:
""Distillation training was performed without sequence parallelism across 64 NVIDIA H100 GPUs, with a batch size of 64 (effectively one sample per GPU). Each GPU loaded a different frozen teacher model from the pool of 64 pretrained all-folds models. <..> The distillation process ran for 250,000 steps, taking approximately 3 days""

989400000000000 FLOP / GPU / sec * 64 GPUs * 3 days * 24 hours / day * 3600 sec / hour * 0.3 [assumed utilization] = 4.9238876e+21 FLOP

8.7058022e+21 FLOP + 4.9238876e+21 FLOP = 1.362969e+22 FLOP 

""Likely"" confidence,  because I am not sure how many pre-training runs were there. ",,,450000000.0,""" AlphaGenome has approximately 450 million trainable parameters (20% in the encoder, 28% in the sequence transformer, 15% in the pairwise blocks, 25% in the decoder, and 12% in the output embedding and prediction heads)""",Likely,,Hardware,No,AlphaGenome: advancing regulatory variant effect prediction with a unified DNA sequence model,https://storage.googleapis.com/deepmind-media/papers/alphagenome.pdf,2025-06-25,2025.0,after_cutoff,False,1.362969e+22,finite_scalar,,missing,450000000.0,finite_scalar
255,Kimi-VL,2025-06-23,,,,,16000000000.0," Structurally, Kimi-VL
consists of our Moonlight (J. Liu et al. 2025a) MoE language model with only 2.8B activated (16B total) parameters,
paired with a 400M native-resolution MoonViT vision encoder.",Confident,,,,KIMI-VL TECHNICAL REPORT,https://arxiv.org/pdf/2504.07491,2025-06-23,2025.0,after_cutoff,False,,missing,,missing,16000000000.0,finite_scalar
256,Minimax Hailuo 02,2025-06-18,,"Hard to bound the training compute. It performs similarly to Veo-2/3, so plausibly has similar training budget. Minimax raised $600M in early 2024, so they plausibly could have afforded a 1e25 FLOP training run (https://siliconangle.com/2024/03/05/report-chinese-ai-startup-minimax-raises-600m-2-5b-valuation-led-alibaba/).",,,,"""We ultimately expanded the model's total parameter count to 3 times that of its predecessor.""",Unknown,,,No,"MiniMax Hailuo 02, World-Class Quality, Record-Breaking Cost Efficiency",https://www.minimax.io/news/minimax-hailuo-02,2025-06-18,2025.0,after_cutoff,False,,missing,,missing,,missing
257,video-SALMONN 2+,2025-06-18,,,,,,,Likely,,,,,https://github.com/bytedance/video-SALMONN-2,2025-06-18,2025.0,after_cutoff,False,,missing,,missing,,missing
258,Mercury Coder Mini,2025-06-17,,,,"""The overall model is trained on the order of trillions of tokens.""",,,Unknown,,,No,Mercury: Ultra-Fast Language Models Based on Diffusion,https://arxiv.org/abs/2506.17298v1,2025-06-17,2025.0,after_cutoff,False,,missing,,missing,,missing
259,Mercury Coder Small,2025-06-17,,,,"""The overall model is trained on the order of trillions of tokens.""",,,Unknown,,,No,Mercury: Ultra-Fast Language Models Based on Diffusion,https://arxiv.org/abs/2506.17298v1,2025-06-17,2025.0,after_cutoff,False,,missing,,missing,,missing
260,Kimi Dev 72b,2025-06-16,,,,,72000000000.0,72B,Confident,,,Yes,"Introducing Kimi-Dev:
A Strong and Open-source Coding LLM for Issue Resolution","https://moonshotai.github.io/Kimi-Dev/
",2025-06-16,2025.0,after_cutoff,False,,missing,,missing,72000000000.0,finite_scalar
261,Gemini 2.5 Flash-Lite,2025-06-15,,,,,,,Unknown,,,No,"Best for high volume, cost efficient tasks",https://deepmind.google/models/gemini/flash-lite/,2025-06-15,2025.0,after_cutoff,False,,missing,,missing,,missing
262,Mistral Small 3.2,2025-06-15,,"Likely to use >1e23 FLOP because Mistral Small 3 used about 1e24 FLOP. However, if this was continued pretraining (or new post-training), then not clear whether it would have used >1e23 FLOP.",,,24000000000.0,24B,Confident,,,Yes,Mistral-Small-3.2-24B-Instruct-2506 is a minor update of Mistral-Small-3.1-24B-Instruct-2503.,https://huggingface.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506,2025-06-15,2025.0,after_cutoff,False,,missing,,missing,24000000000.0,finite_scalar
263,MiniMax-M1-80k,2025-06-13,4.3240062e+24,1.9828799999999997e+24 FLOP [base model compute] + 2.3411262e+24 FLOP [see finetune compute notes] = 4.3240062e+24 FLOP,7500000000000,"7.5T tokens

""To enhance the reasoning and long context capabilities of the foundation model while ensuring diversity, we continue training the MiniMax-Text-01 model with additional 7.5T tokens with optimized
data quality and mixture.""",456000000000.0,"from the base model:
Total Parameters: 456B
Activated Parameters per Token: 45.9B",Likely,,,Yes,MiniMax-M1: Scaling Test-Time Compute Efficiently with Lightning Attention,https://arxiv.org/abs/2506.13585,2025-06-13,2025.0,after_cutoff,False,4.3240062e+24,finite_scalar,7500000000000.0,finite_scalar,456000000000.0,finite_scalar
264,MiniMax-M1-40k,2025-06-13,4.1861931e+24,1.9828799999999997e+24 FLOP [base model compute] + 2.2033131e+24 FLOP [see finetune compute notes] = 4.1861931e+24 FLOP,7500000000000,"7.5T tokens

""To enhance the reasoning and long context capabilities of the foundation model while ensuring diversity, we continue training the MiniMax-Text-01 model with additional 7.5T tokens with optimized
data quality and mixture.""",456000000000.0,"from the base model:
Total Parameters: 456B
Activated Parameters per Token: 45.9B

(matches safetensors)",Likely,,,Yes,MiniMax-M1: Scaling Test-Time Compute Efficiently with Lightning Attention,https://arxiv.org/abs/2506.13585,2025-06-13,2025.0,after_cutoff,False,4.1861931e+24,finite_scalar,7500000000000.0,finite_scalar,456000000000.0,finite_scalar
265,FGN,2025-06-12,9.618950880000001e+21,"TPU v5 FLOPs: 459000000000000
TPU v6 FLOPs: 918000000000000

They train for 490 TPU days, with an unspecified mix of v5 and v6. Assuming same proportion of both TPU and a utilization of 0.33. 

Mean TPU FLOPs: 688500000000000

Compute: 490*24*60*60*688500000000000*0.33=9618950880000001000000",,,720000000.0,"""In this work we train 𝐽 = 4 models. To ensemble their predictions, we generate an equal number of ensemble member trajectories from each model""
""FGN is a larger model, with ∼180m parameters per model seed""

They train a 4 model ensemble with 180M parameters per model. Total parameters: 4*180=720M",Confident,,Hardware,No,Skillful joint probabilistic weather forecasting from marginals,https://arxiv.org/abs/2506.10772v1,2025-06-12,2025.0,after_cutoff,False,9.618950880000001e+21,finite_scalar,,missing,720000000.0,finite_scalar
266,CollabLLM,2025-06-12,,,,,8000000000.0,same as the base model,Confident,,,Yes,CollabLLM: From Passive Responders to Active Collaborators,https://arxiv.org/abs/2502.00640,2025-06-12,2025.0,after_cutoff,False,,missing,,missing,8000000000.0,finite_scalar
267,V-JEPA 2,2025-06-11,9.05969664e+21,"The number of tokens per video seems to be ~2048: 16x16 patches on 256x256 videos = 256 patches per frame, 2 tubelets across 16 frames = 8 temporal dimensions (not sure about this). Total tokens per clip: 8*16*16=2048

Batch size = 3072
Iterations = 240k (""Our training process begins with a warmup phase where we train on 16-frame, 256 × 256-resolution videos with linear learning rate warmup over 12K iterations, followed by a main training phase with a constant learning rate for 228K iterations."")

Total pretraining compute using 6ND: 6*1e9 parameters *240000 steps * 3072 batch * 2048 tokens = 9059696640000000000000",,"""In the first stage—pre-training—we use more than 1 million hours of video and 1 million images from diverse sources. ""

""The resulting dataset, which we refer to as VideoMix22M (or VM22M), consists of 22 million samples. Table 1 lists these data sources and their weights""

[next stage] ""only 62 hours of robot data""

""we first patchify it as a sequence of tubelets of size 2 × 16 × 16 ""
""252 thousand iterations""

The number of tokens per video seems to be ~2048: 16x16 patches on 256x256 videos = 256 patches per frame, 2 tubelets across 16 frames = 8 temporal dimensions (not sure about this). Total tokens per clip: 8*16*16=2048

Batch size = 3072
Iterations = 240k (""Our training process begins with a warmup phase where we train on 16-frame, 256 × 256-resolution videos with linear learning rate warmup over 12K iterations, followed by a main training phase with a constant learning rate for 228K iterations."")

240000 * 2048 * 3072 = 1.5099494e+12 video tokens",1000000000.0,Table 4,Likely,,Operation counting,Yes,"V-JEPA 2: Self-Supervised Video Models Enable Understanding, Prediction and Planning",https://arxiv.org/abs/2506.09985,2025-06-11,2025.0,after_cutoff,False,9.05969664e+21,finite_scalar,,missing,1000000000.0,finite_scalar
268,Cosmos-Predict2-2B-Text2Image ,2025-06-11,,"High quality (but not SOTA) text-to-image generation, plausibly over 1e23 FLOP, unlikely to be over 1e25 FLOP at this size.",,,2000000000.0,,Confident,,,Yes,NVIDIA Releases New AI Models and Developer Tools to Advance Autonomous Vehicle Ecosystem,https://research.nvidia.com/labs/dir/cosmos-predict2/,2025-06-11,2025.0,after_cutoff,False,,missing,,missing,2000000000.0,finite_scalar
269,Cosmos-Predict2-14B-Text2Image,2025-06-11,,"High quality (but not SOTA) text-to-image generation, plausibly over 1e23 FLOP, unlikely to be over 1e25 FLOP.",,,14000000000.0,,Confident,,,Yes,NVIDIA Releases New AI Models and Developer Tools to Advance Autonomous Vehicle Ecosystem,https://research.nvidia.com/labs/dir/cosmos-predict2/,2025-06-11,2025.0,after_cutoff,False,,missing,,missing,14000000000.0,finite_scalar
270,Cosmos-Predict2-2B-Video2World,2025-06-11,,"Likely under 1e25 FLOP in light of small size, maybe over 1e23 FLOP comparing to the 14B model.",,,2000000000.0,,Confident,,,Yes,NVIDIA Releases New AI Models and Developer Tools to Advance Autonomous Vehicle Ecosystem,https://research.nvidia.com/labs/dir/cosmos-predict2/,2025-06-11,2025.0,after_cutoff,False,,missing,,missing,2000000000.0,finite_scalar
271,Cosmos-Predict2-14B-Video2World,2025-06-11,,"Maybe over 1e25 FLOP as the original ""Cosmos-1.0-Diffusion-14B-Video2World"" was just under 1e25 FLOP, and this appears to be an improved model. But details not yet released.",,,14000000000.0,,Confident,,,Yes,NVIDIA Releases New AI Models and Developer Tools to Advance Autonomous Vehicle Ecosystem,https://research.nvidia.com/labs/dir/cosmos-predict2/,2025-06-11,2025.0,after_cutoff,False,,missing,,missing,14000000000.0,finite_scalar
272,Cosmos-Predict2-2B-Text2Image,2025-06-11,,,,,2000000000.0,,Confident,,,Yes,"Cosmos-Predict2: A Suite of Diffusion-based World Foundation Models Available in 2B, and 14B",https://huggingface.co/spaces/multimodalart/Cosmos-Predict2-2B,2025-06-11,2025.0,after_cutoff,False,,missing,,missing,2000000000.0,finite_scalar
273,Seed-1.6-Thinking,2025-06-11,,,,,230000000000.0,"Model has 230B parameters total, with 23B active parameters (sparse MoE setting).",Confident,,,No,"Introduction to Techniques Used in Seed1.6
",https://seed.bytedance.com/en/blog/introduction-to-techniques-used-in-seed1-6,2025-06-11,2025.0,after_cutoff,False,,missing,,missing,230000000000.0,finite_scalar
274,Seed 1.6,2025-06-11,,,,,230000000000.0,MoE,Confident,,,No,"ByteDance Unveils DouBao 1.6 and Seedance 1.0 with Significantly Reduced Costs
",https://www.aibase.com/news/18831,2025-06-11,2025.0,after_cutoff,False,,missing,,missing,230000000000.0,finite_scalar
275,Magistral Medium 1.1,2025-06-10,,,,,,,Unknown,,,No,"Announcing Magistral — the first reasoning model by Mistral AI — excelling in domain-specific, transparent, and multilingual reasoning.",https://mistral.ai/news/magistral,2025-06-10,2025.0,after_cutoff,False,,missing,,missing,,missing
276,Magistral Small 1.1,2025-06-10,,,,,24000000000.0,"24B

""We finetuned Mistral Small 3 Instruct (a 24-billion parameter model) for 4 epochs""",Confident,,,Yes,"Announcing Magistral — the first reasoning model by Mistral AI — excelling in domain-specific, transparent, and multilingual reasoning.",https://mistral.ai/news/magistral,2025-06-10,2025.0,after_cutoff,False,,missing,,missing,24000000000.0,finite_scalar
277,o3-pro,2025-06-10,,,,,,,Unknown,,,,,,2025-06-10,2025.0,after_cutoff,False,,missing,,missing,,missing
278,Seedance 1.0,2025-06-10,,"Unsure how much compute was used. Plausibly over 1e25 FLOP. Performs similarly to Veo-2/3, and Bytedance could afford a 1e25 FLOP training run.",,,,,Unknown,,,No,Seedance 1.0: Exploring the Boundaries of Video Generation Models,https://arxiv.org/abs/2506.09113,2025-06-10,2025.0,after_cutoff,False,,missing,,missing,,missing
279,Skywork-R1V3,2025-06-10,,,,,38000000000.0,38B,Confident,,,,"Skywork-R1V3 Technical Report
",https://arxiv.org/abs/2507.06167,2025-06-10,2025.0,after_cutoff,False,,missing,,missing,38000000000.0,finite_scalar
280,Devstral Medium,2025-06-10,,,,,,,Unknown,,,No,Upgrading agentic coding capabilities with the new Devstral models,https://mistral.ai/news/devstral-2507,2025-06-10,2025.0,after_cutoff,False,,missing,,missing,,missing
281,MiniCPM-4-8B,2025-06-09,,,,,8000000000.0,8b,Confident,,,,MiniCPM4: Ultra-Efficient LLMs on End Devices,https://arxiv.org/abs/2506.07900,2025-06-09,2025.0,after_cutoff,False,,missing,,missing,8000000000.0,finite_scalar
282,Redwood AI,2025-06-09,,,,,,,Unknown,,,No,Redwood AI,https://www.1x.tech/discover/redwood-ai,2025-06-09,2025.0,after_cutoff,False,,missing,,missing,,missing
283,Boltz-2,2025-06-06,,,,Wide range of different datasets and data types - I'm unsure how one would go about aggregating these.,,,Unknown,,,Yes,Boltz-2: Towards Accurate and Efficient Binding Affinity Prediction,http://jeremywohlwend.com/assets/boltz2.pdf,2025-06-06,2025.0,after_cutoff,False,,missing,,missing,,missing
284,MiMo-7B-Base,2025-06-05,1.05e+24,6 FLOP / parameter / token * 7 * 10^9 parameters * 25 * 10^12 tokens = 1.05e+24 FLOP,25000000000000,"""MiMo-7B-Base is pre-trained on 25 trillion tokens""",7000000000.0,"""We set the number of Transformer layers to 36 and the hidden
dimension to 4,096. The intermediate hidden dimension of FFN is set to 11,008. The number of attention heads is 32 and there are 8 key-value groups""",Confident,,Operation counting,Yes,MiMo: Unlocking the Reasoning Potential of Language Model -- From Pretraining to Posttraining,https://arxiv.org/abs/2505.07608,2025-06-05,2025.0,after_cutoff,False,1.05e+24,finite_scalar,25000000000000.0,finite_scalar,7000000000.0,finite_scalar
285,Qwen3 Embedding,2025-06-05,,,,"""Finally, we create a total of approximately 150 million pairs of multi-task weak supervision training data. <..> Ultimately, approximately 12 million high-quality supervised training data pairs are selected for further training""",8000000000.0,8B,Confident,,,Yes,Qwen3 Embedding: Advancing Text Embedding and Reranking Through Foundation Models,https://arxiv.org/abs/2506.05176v1,2025-06-05,2025.0,after_cutoff,False,,missing,,missing,8000000000.0,finite_scalar
286,Qwen3 Reranker,2025-06-05,,,,"""Finally, we create a total of approximately 150 million pairs of multi-task weak supervision training data. <..> Ultimately, approximately 12 million high-quality supervised training data pairs are selected for further training""",8000000000.0,8B,Confident,,,Yes,Qwen3 Embedding: Advancing Text Embedding and Reranking Through Foundation Models,https://arxiv.org/abs/2506.05176v1,2025-06-05,2025.0,after_cutoff,False,,missing,,missing,8000000000.0,finite_scalar
287,ether0,2025-06-05,,,,"Reasoning models are large language models that emit a long chain-of-thought before answering, providing both higher accuracy and explicit reasoning for their response. A major question has been whether language model reasoning generalizes beyond mathematics, programming, and logic, where most previous work has focused. We demonstrate that reasoning models can be post-trained for chemistry without additional domain pretraining, and require substantially less data compared to contemporary domain-specific models. We report ether0, a 24B parameter LLM (based on Mistral-Small-24B) that can reason in natural language and respond with chemical structures. This reasoning model was trained with reinforcement learning on 640,730 experimentally-grounded chemistry problems across 375 tasks ranging from synthesizability, to blood-brain barrier permeability, to human receptor activity, to scent. Our model exceeds general-purpose chemistry models, frontier models, and human experts on molecular design tasks. It is also more data efficient relative to specialized models. We anticipate that this method can be applied to train data-efficient language models specialized for tasks across a wide variety of scientific domains.",24000000000.0,24B,Likely,,Hardware,Yes,ether0: a scientific reasoning model for chemistry,https://arxiv.org/abs/2506.17238,2025-06-05,2025.0,after_cutoff,False,,missing,,missing,24000000000.0,finite_scalar
288,Claude Gov,2025-06-05,,,,,,,Unknown,,,No,Claude Gov models for U.S. national security customers,https://www.anthropic.com/news/claude-gov-models-for-u-s-national-security-customers,2025-06-05,2025.0,after_cutoff,False,,missing,,missing,,missing
289,Gemini 2.5 Pro (Jun 2025),2025-06-05,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,,,,,Unknown,,,No,Gemini 2.5: Our most intelligent AI model,https://blog.google/technology/google-deepmind/gemini-model-thinking-updates-march-2025/#gemini-2-5-thinking,2025-06-05,2025.0,after_cutoff,False,,missing,,missing,,missing
290,Ink Whisper,2025-06-04,,,,,,,Unknown,,,No,Ink-Whisper: streaming speech-to-text,"https://cartesia.ai/ink

https://cartesia.ai/blog/introducing-ink-speech-to-text

https://docs.cartesia.ai/2024-11-13/build-with-cartesia/models/stt",2025-06-04,2025.0,after_cutoff,False,,missing,,missing,,missing
291,MiMo-VL-7B-SFT,2025-06-04,1.1508e+24,1.05e+24 FLOP [base model compute] + 1.008e+23 FLOP [finetune compute] = 1.1508e+24 FLOP,2400000000000,"2.4 trillion tokens of high-quality, diverse multimodal data spanning images, videos, and text. This comprehensive dataset includes general image captions, interleaved data, Optical Character Recognition (OCR) data, grounding data, video content, GUI interactions, reasoning examples, and text-only sequences.",7000000000.0,,Confident,,Operation counting,Yes,"MiMo-VL Technical Report
",https://arxiv.org/abs/2506.03569,2025-06-04,2025.0,after_cutoff,False,1.1508e+24,finite_scalar,2400000000000.0,finite_scalar,7000000000.0,finite_scalar
292,MiMo‑VL‑7B‑RL,2025-06-04,,,,,7000000000.0,,Confident,,,Yes,"MiMo-VL Technical Report
",https://arxiv.org/abs/2506.03569,2025-06-04,2025.0,after_cutoff,False,,missing,,missing,7000000000.0,finite_scalar
293,Eleven v3,2025-06-03,,,,,,,Unknown,,,No,Meet Eleven v3. The most expressive Text to Speech model.,https://elevenlabs.io/v3,2025-06-03,2025.0,after_cutoff,False,,missing,,missing,,missing
294,OpenAudio-S1,2025-06-03,3.36e+22,6 FLOP / parameter / token * 4 * 10^9  parameters * 14 * 10^11 token [see training dataset size note] = 3.36e+22 FLOP,1400000000000,"[tokens] 

Their previous model was trained on 720000 hours of audio data that was equal to 5*10^11 tokens -> 2M hours ~ 14*10^11 tokens 

""Trained on 2 million hours of audio, OpenAudio S1 achieves breakthrough quality and diversity in voice generation. This vast dataset enables the model to produce smooth, realistic voices nearly indistinguishable from human voiceovers.""",4000000000.0,"""the 4-billion parameter S1 model""",Likely,,Operation counting,No,Our cutting-edge text-to-speech model that performs like voice actors,https://openaudio.com/blogs/s1,2025-06-03,2025.0,after_cutoff,False,3.36e+22,finite_scalar,1400000000000.0,finite_scalar,4000000000.0,finite_scalar
295,OpenAudio-S1-mini ,2025-06-03,,,,,500000000.0,S1-mini (0.5B): A distilled version of S1.,Confident,,,Yes,"a 0.5-billion parameter distilled, fully open-source model optimized for faster inference",https://huggingface.co/fishaudio/openaudio-s1-mini,2025-06-03,2025.0,after_cutoff,False,,missing,,missing,500000000.0,finite_scalar
